recordid,title,author,place,year,language,subject
1.90E+13,A Collection of Letters for the Improvement of Husbandry and Trade,"Houghton, John",London,1681,English,Agriculture
1.90E+13,A Collection of Letters for the Improvement of Husbandry and Trade,"Houghton, John",London,1682,English,Agriculture
1.90E+13,A Collection of Letters for the Improvement of Husbandry and Trade,"Houghton, John",London,1683,English,Agriculture
1.90E+13,A Collection of Letters for the Improvement of Husbandry and Trade,"Houghton, John",London,1684,English,Agriculture
1.90E+13,"An essay for advancement of husbandry-learning: or propositions for the errecting Colledge of husbandry; and in order thereunto, for the taking in of pupills or apprentices. And also friends or fellowes of the same colledge or society","Hartlib, Samuel",London,1651,English,Agriculture Agricultural education
1.90E+13,"Cornu copia. A miscellanium of luciferous and most fructiferous experiments, observations, and discoveries, immethodically distributed; to be really demonstrated and communicated in all sincerity","Hartlib, Samuel",[n.p.],1652,English,Agriculture Agricultural innovations
1.90E+13,"The countrey-mans rudiments: or, an advice to the farmers of East-Lothian, how to labour and improve their ground","Belhaven, John Hamilton, Baron",Edinburgh,1699,English,Agriculture Agriculture
1.90E+13,"New additions to the art of husbandry. Comprizing a new way of enriching meadows, destroying of moles, making tulips any colour. With an approved way of ordering of fish and fish-ponds, and destroying the hern; and to take carp or tench in any muddy pond. How to take all manner of birds ... To make cabbidges and garden-beans grow alarge in any barren ground. A new way to destroy all manner of field mice. How to make arbors become as shady in one year as in seven. ... With a brief way to set and sow all manner of physical herbs ... And the true way for drying herbs ... With directions for breeding and ordering all sorts of singing-birds","Blagrave, Joseph",London,1685,English,Agriculture Agriculture
1.90E+13,"The epitomie of the art of husbandry. Comprizing all necessary directions for the improvement of it ... Of the nature of marle, the best way of planting clover-grass, hops, saffron, liquorice, hemp, &c. To which is annexed by way of appendix, a new method of planting fruit-trees, and improving of an orchard: With directions for taking ordering, teaching and curing of singing birds, and other useful additions","Blagrave, Joseph",London,1685,English,Agriculture Agriculture
1.90E+13,"The messenger of profit; or, Index to a golden-age","Duckett, Thomas",London,1649,English,Agriculture Agriculture
1.90E+13,"A discoverie for division or setting out of land, as to the best form published by S. Hartlib Esquire ... And an essay to shew how all lands may be improved in a new way to become the ground of the inerease of trading and revenue to this Common-wealth","Dymock, Cressy",London,1653,English,Agriculture Agriculture
1.90E+13,"Maison rustique, or the covntrey farme compiled in the French tongue by Charles Steuens and John Liebault Doctors of physicke: and translated into English by Richard Svrflet ... also a short collection of the hunting of the hart, wilde bore, hare, fox, gray, cony; of birds and faulconrie","Estienne, Charles",London,1606,English,Agriculture Agriculture
