recordid,title,author,place,year,language,subject,library,notes
1.901E+13,De figueren van alle goude ende siluere penninghen die van nv voortaen achtervolghende & placcaet vanden ghelde/ cours ende loop sulleu[!] hebben inde landen van herwaertsouere/ ende alle andere hier in niet in prente gestelt/ worden verclaert voor billoen/ ende niet ontfancbaer,NULL,Thantwerpen,1580,Dutch,Fifteenth Century Money,,
1.901E+13,"Het thresoor oft schat van alle de specien, figuren en sorten van gouden ende siluerenmunten, allen muntmeesters, wisselaers, rentmeesters, loop lieden, ende alle liefhebbers der antiquitey en zeer bequaem ende nootdelijck",undefined,T'Antwerpen,1580,Dutch,"Fifteenth Century Coins, European",,
1.901E+13,Nieuwe moderatie ende ordonnantie opt stuck vande collectatie van seker generale middele op d'incomende eÃ± wtgaende coopmanschappen oft conuoye- ghelde van dese Nederlanden,NULL,T'Antwerpen,1580,Dutch,Fifteenth Century Tariff,,
1.901E+13,"Instructie ende ordonnantie, van tghene dat de ghedeputeerde, ghecommitteert totter taxatie vanden vijfden penninck van t'iaerlijcx innecommen van allen huysen, gronden vÃ¢ eruen, thienden ende alle andere goeden, hoedaenich die wesen mogen, binnen de steden ende ten platten lande, gheleghen binnen den lande van Brabant te doene ende volbrenghen fullen hebben, bouen tgene des hen byde ordonnantie daerop ghemaeckt, belast is, midtsgaders hoe ende in wat manieren, sy hun quoyeren sullen moeten maken",NULL,[n.p.],1581,Dutch,Fifteenth Century Tax collection,,
1.901E+13,"Instructie opt heffen vanden impost vande drye stuyuers op elcke ame biers by den Staten van Brabandt gheconsenteert om te becostigen die saken vande amunitien, ende wapenen totter oorloghen dienende",NULL,T'Antwerpen,1581,Dutch,Fifteenth Century Beer,,
164,"Verandtwoordinghe |van den Staten van Zeelandt, op de publicatie ende verclaringhe T\'hantwerpen ghedaen teghen den dobbelen Zeeuwschen ducaet",NULL,"Middelbvrgh, ",1581,Dutch,"State publications , History (Netherlands) , Period documents , Economics",,
1.901E+13,"Placcaet van onsen ghenaedighen heere den hertoghe daer mede verboden wordt, eenich toevoer den vyanden ofte heuren adherenten tedoen, oft wt de steden ende plÃ_tsen byhen gheoccupeert, eenighe goeden, warenofte coopmanschappen herwarts-ouer te brenghen, oft oock met de selue te handelen oft frequenteren t'ware met Licenten oft andersins in eeniger manieren",NULL,Antwerpen,1582,Dutch,Fifteenth Century Netherlands,,
1.901E+13,[Naedemael de jeghenwoordighe figuren refereeren tot den placcarte ende ordonnantie vander munte/ vanden iiij. Augusti M.D.LXXXVJ ...],NULL,[n.p.],1586,Dutch,Fifteenth Century Foreign exchange,,
1.901E+13,Beeldenaer ofte figuerboeck dienende op die nieuwe ordonantie vande munte ...wtghegeuenden 4. Augusti 1586 ...zijn alle die figuren vanden goude ende siluere munte,NULL,Amstelredam,1586,Dutch,Fifteenth Century Foreign exchange,,
1.901E+13,"Manuael ofte handtboeck inhoudende die weerde vanden marck, once engelce ende aes van alleghevalueerde ende onghevalueerde munte ... voor instructie op de ordonnantie vander munte, vanden iiij. Augusti, 1586",NULL,Amstelredam,1586,Dutch,Fifteenth Century Foreign exchange,,
1.901E+13,"Placcart ende ordonantie generale soo op den cours, vanden gelde, als op de policie ende discipline betreffende d'exercitie vanden munte ende muntslach",NULL,Amstelredam,1586,Dutch,Fifteenth Century Foreign exchange,,
