author
A. B.
A. D.
A. M. (Alexander Mudie)
A. N.
A. V. (A. Vickaris)
Abercromby  Patrick
Adamson  Hugh
Addison  Joseph
Addison  Lancelot
Adkins  William
Agard  Arthur
Aglionby  William
Aickin  Joseph
Ainsworth  Robert
Albemarle  George Monck  Duke of
Albyn  Benjamin
Aldrich  Henry
Allen  Robert
American
Ames  Richard
Amhurst  N. (Nicholas)
Andrewes  Lancelot
Anstruther  John  Sir
Anstruther  William  Sir
Arbuthnot  John
Argyll  Archibald Campbell  Marquis of
Armour  James
Armuthaz  Bollicosgo
Arundell  Mr.
Ascham  Antony
Asgill  John
Ash  Thomas
Atterbury  Francis
Atwood  William
Audley  John  Preacher of the Gospel
Audley  Matthew
Aungier  Francis  Earl of Longford
Austen  Ralph
Author and proposer of the paper intituled A plain and easie way to reduce guineas and settle the silver coin
Author of The Duke of Anjou's succession considered
Avaux  comte d'
Ayres  John
B.
B. P.
B. W.
Bacon  Francis
Baker  Richard  Sir
Baker  Richard  merchant
Bancroft  Richard
Banes  William
Bannatyne  John
Banson  William
Barba  Alvaro Alonso
Barbier  Stephen
Barbon  Nicholas
Barham  Henry
Barker  Thomas
Barnes  Barnabe
Barnes  John
Barrington  John Shute Barrington  Viscount
Barrow  Humphrey
Barrow  Isaac
Barton  D. (David)
Barton  Nathaniel
Baston  Thomas
Bate  John
Bateman  Thomas
Bateson  Peter
Bathe  Henry de
Battie  John
Baxter  Richard
Baxter  Simon
Beaumont  John
Beaumont  Joseph
Beaver  John
Beeckman  Daniel
Belhaven  John Hamilton  Baron
Bell  Andrew
Bellers  John
Benbrigge  John
Benson  Gervase
Benson  William
Bentham  Joseph
Bently  John
Bergier  Nicolas
Berkeley  George Berkeley  Earl of
Bermingham  Michel
Bernard  Richard
Bernier  Fran_ois
Besongne  Nicolas
Bethel  Slingsby
Beverley  Robert
Beverley  Thomas
Biggar  Alexander
Billinghurst  George
Binning  John
Bisbie  Nathaniel
Black  Alexander
Black  David  writer on commerce
Black  William
Blackall  Offspring
Blacker  Samuel
Blackmore  Richard  Sir
Blackwell  John
Blagrave  Joseph
Blanch  John
Bland  John
Blaney  Jo
Blaxton  John
Bleau  Robert
Blith  Walter
Blome  Richard
Blondeau  Peter
Blount  Charles
Blount  Thomas
Blunt  John  Sir
Boate  Gerard
Bockett  Elias
Bockett  John
Bodin  Jean
Boekell  Martin
Bohun  Edmund
Bohun  William
Boit  Charles
Bolingbroke  Henry St. John  Viscount
Bolton  Edmund
Bolton  Robert
Bond  J. (John)
Bond  William
Bond  Wm. (William)
Boothby  Richard
Borough  John  Sir
Borri  Cristoforo
Bosman  Willem
Boswell  William
Boteler  Oliver  Sir
Boteler  William
Botero  Giovanni
Bowyer  Dorothy
Boyer  Abel
Braddon  Laurence
Bradford  Samuel
Bradley  John  M.A.
Bradley  Richard
Brady  Robert
Bramston  John  Sir
Bray  Thomas
Brewer in the city
Brewster  Francis  Sir
Briscoe  John
Bristol  George Digby  Earl of
Brodrick  St. John  Sir
Bromley  Richard
Brooke  Humphrey
Brooke  Thomas
Brooks  Thomas
Broome
Broughton  John
Brown  Andrew
Brown  Edward
Brown  John  of London
Brown  Thomas
Browne  Thomas
Bruce  Alexander
Brunskell  Percivall
Brydall  John
Brydall  John  b.
Buckingham  George Villiers  Duke of
Buckley  Richard  Sir
Budgell  Eustace
Burges  Cornelius
Burges  Samuel
Burghill  Fran. (Francis)
Burnaby  A. (Anthony)
Burnet  Gilbert
Burnet  Thomas  Sir
Burrell  Andrewes
Burridge  Ezekiel
Burrough  Edward
Busbecq  Ogier Ghislain de
Bush  Rice
Bushell  Thomas
Butler  Charles
Butler  Mary  defendant
Butler  Prince
Butler  Samuel
Butler  Walter  Colonel
B©thune  Philippe de  comte de Selles et de Charost
C-----m  C.
C. B.
C. K.
C. K.  Unfeigned and hearty lover of England
C. T.
C. W.
Cabrera  Juan Toms Enr_quez de  duque de Medina de R_osco
Calamy  Edmund
Callis  Robert
Calthrop  Henry  Sir
Calthrope  Charles  Sir
Calver  Edward
Calvin  Robert
Campbell  Dugald
Canning  William
Cano  Toms
Capel  Richard
Cardenas  Alonso de
Care  Henry
Carew  George  Esq.
Carew  Richard
Carey  Nicholas
Carleton  George
Carr  William
Carstares  William
Carter  John  diacon
Carter  Richard
Carter  Samuel  barrister at law
Carter  W. (William)
Carter  William
Cary  John
Cary  Walter
Casaubon  Meric
Castaing  John
Castelmoncayo  Baltasar de Fuenmayor  marqu©s de
Caus  Isaac de
Cawley  J. (John)
Cawood  Francis
Cawthorpe  Thomas
Centlivre  Susanna
Chaloner  William
Chamberlayne  Edward
Chamberlayne  John
Chamberlen  Hugh
Chamberlen  Peter
Chappel  Samuel
Charles I  King of England
Charles II  King of England
Charleton  Walter
Charpentier  M. (Fran_ois)
Charteris  Francis
Chettle  Henry
Chetwood  W. R. (William Rufus)
Cheyne  William  Viscount Newhaven
Chidley  John  agent in Gambia
Chidley  Samuel
Child  Josiah  Sir
Chiverton  Richard
Cholmondeley  Daniel
Christopher  Edward
Chubb  Thomas
Churchill  Awnsham
Citizen of London
Clarendon  Edward Hyde  Earl of
Clark  James
Clarke  George
Clarke  Samuel
Clavel  Roger
Clay  Thomas
Clayton  David
Cleland  William
Clement  Saint  of Alexandria
Clement  Simon
Clerk  John  Sir
Clerke  George
Clifford  Jeronimy
Clowdesley  Elizabeth
Cockburn  John
Cocker  Edward
Codrington  Robert
Coke  Edward  Sir
Coke  Edward  Sir  Part 4
Coke  Roger
Cole  John
Cole  William
Colepeper  John Colepeper  Baron
Colepepyr  Robert
Colinson  Robert
Collier  Jeremy
Collinges  John
Collins  John
Colson  William
Comber  Thomas
Comenius  Johann Amos
Compassionate conformist
Congreve  Thomas
Cony  George
Cook  John
Cook  Moses
Cooke  John  Sir
