Keyword, Count
1397,1
1651,1
1652-1654,1
1658,1
1664-1667,1121
1666-1667,1
1667-1668,1
1672-1678,46
1673,4
1675-1676,1
1678,21184
1678-1679,1
1689-1697,2411
1692,1
1701-1714,9761301
1709,17
1718-1720,1
Aaron,1
Abiezer,1
Abraham,1
Administration of,21261
Administrative,1
Agriculture,4
Agriculture Agricultural education,1
Agriculture Agricultural innovations,1
Agriculture Agriculture,76
Agriculture Animal culture,4
Agriculture Annuities,2
Agriculture Answer to several objections against the Mine-Adventure,1
Agriculture Asgill,1
Agriculture Atlantic herring fisheries,1
Agriculture Attachment and garnishment,2
Agriculture Bampfield,1
Agriculture Banks and banking,1
Agriculture Bateman,1
Agriculture Burges,1
Agriculture Case of the coasting-fishermen of the kingdom of Great Britain,1
Agriculture Caton (Manor : Lancashire),1
Agriculture Charitable uses,1
Agriculture Christian life,1
Agriculture Church lands,6
Agriculture Church of England,1
Agriculture Cider,1
Agriculture Civil law,1
Agriculture Claims against decedents' estates,3
Agriculture Clancarty,1
Agriculture Cleveland,1
Agriculture Coal,1
Agriculture Coal mines and mining,3
Agriculture Coal trade,1
Agriculture Commons,4
Agriculture Company of Free-Fishermen of the River of Thames,2
Agriculture Company of Scotland Trading to Africa and the Indies,1
Agriculture Company of the Royal Fishery of England,9
Agriculture Conveyancing,1
Agriculture Copyhold,2
Agriculture Corporate reorganizations,1
Agriculture Corporation of the Mine Adventurers of England,26
Agriculture Crown lands,1
Agriculture Debts,1
Agriculture Deeds,1
Agriculture Deer hunting,2
Agriculture Depopulation (Criminal law),1
Agriculture Detention of persons,1
Agriculture Distillation,1
Agriculture Drainage,6
Agriculture Drainage laws,1
Agriculture Enfield Chase (London,1
Agriculture England,4
Agriculture Episcopacy,1
Agriculture Estates (Law),1
Agriculture Exeter,1
Agriculture Fens,6
Agriculture Feudal law,1
Agriculture Feudalism,1
Agriculture Finance,1
Agriculture Fish trade,3
Agriculture Fish-culture,2
Agriculture Fisheries,32
Agriculture Fishery law and legislation,4
Agriculture Fishery policy,1
Agriculture Fishing Society (Scotland),2
Agriculture Fishing boats,1
Agriculture Fitzgerald,2
Agriculture Flax,2
Agriculture Flower gardening,1
Agriculture Foreign fishing,2
Agriculture Forest landowners,1
Agriculture Forest surveys,1
Agriculture Forestry law and legislation,5
Agriculture Forests and forestry,13
Agriculture Forfeiture,4
Agriculture Forth,1
Agriculture Frideswide's Meadow (Oxford),1
Agriculture Fruit-culture,8
Agriculture Fuelwood crops,1
Agriculture Galmoy,1
Agriculture Game laws,4
Agriculture Gardening,14
Agriculture Gavelkind,2
