Subject, Count,Agriculture,Colonies,Commerce,Fifteenth Century,finance,general,Miscellaneous,politics,Trades and Manufactures ,social conditions,transport
Agriculture,4,,,,,,,,,,,
Agriculture Agricultural education,1,,,,,,,,,,,
Agriculture Agricultural innovations,1,,,,,,,,,,,
Agriculture Agriculture,76,,,,,,,,,,,
Agriculture Animal culture,4,,,,,,,,,,,
Agriculture Annuities,2,,,,,,,,,,,
Agriculture Answer to several objections against the Mine-Adventure,1,,,,,,,,,,,
Agriculture Asgill| John,1,,,,,,,,,,,
Agriculture Atlantic herring fisheries,1,,,,,,,,,,,
Agriculture Attachment and garnishment,2,,,,,,,,,,,
Agriculture Bampfield| George,1,,,,,,,,,,,
Agriculture Banks and banking,1,,,,,,,,,,,
Agriculture Bateman| Thomas,1,,,,,,,,,,,
Agriculture Burges| Cornelius,1,,,,,,,,,,,
Agriculture Case of the coasting-fishermen of the kingdom of Great Britain,1,,,,,,,,,,,
Agriculture Caton (Manor : Lancashire),1,,,,,,,,,,,
Agriculture Charitable uses| trusts| and foundations,1,,,,,,,,,,,
Agriculture Christian life,1,,,,,,,,,,,
Agriculture Church lands,6,,,,,,,,,,,
Agriculture Church of England,1,,,,,,,,,,,
Agriculture Cider,1,,,,,,,,,,,
Agriculture Civil law,1,,,,,,,,,,,
Agriculture Claims against decedents' estates,3,,,,,,,,,,,
Agriculture Clancarty| Elizabeth Maccarthy,1,,,,,,,,,,,
Agriculture Cleveland| Thomas Wentworth,1,,,,,,,,,,,
Agriculture Coal,1,,,,,,,,,,,
Agriculture Coal mines and mining,3,,,,,,,,,,,
Agriculture Coal trade,1,,,,,,,,,,,
Agriculture Commons,4,,,,,,,,,,,
Agriculture Company of Free-Fishermen of the River of Thames,2,,,,,,,,,,,
Agriculture Company of Scotland Trading to Africa and the Indies,1,,,,,,,,,,,
Agriculture Company of the Royal Fishery of England,9,,,,,,,,,,,
Agriculture Conveyancing,1,,,,,,,,,,,
Agriculture Copyhold,2,,,,,,,,,,,
Agriculture Corporate reorganizations,1,,,,,,,,,,,
Agriculture Corporation of the Mine Adventurers of England,26,,,,,,,,,,,
Agriculture Crown lands,1,,,,,,,,,,,
Agriculture Debts| Public,1,,,,,,,,,,,
Agriculture Deeds,1,,,,,,,,,,,
Agriculture Deer hunting,2,,,,,,,,,,,
Agriculture Depopulation (Criminal law),1,,,,,,,,,,,
Agriculture Detention of persons,1,,,,,,,,,,,
Agriculture Distillation,1,,,,,,,,,,,
Agriculture Drainage,6,,,,,,,,,,,
Agriculture Drainage laws,1,,,,,,,,,,,
Agriculture Enfield Chase (London| England),1,,,,,,,,,,,
Agriculture England,4,,,,,,,,,,,
Agriculture Episcopacy,1,,,,,,,,,,,
Agriculture Estates (Law),1,,,,,,,,,,,
Agriculture Exeter| John Cecil,1,,,,,,,,,,,
Agriculture Fens,6,,,,,,,,,,,
Agriculture Feudal law,1,,,,,,,,,,,
Agriculture Feudalism,1,,,,,,,,,,,
Agriculture Finance| Public,1,,,,,,,,,,,
Agriculture Fish trade,3,,,,,,,,,,,
Agriculture Fish-culture,2,,,,,,,,,,,
Agriculture Fisheries,32,,,,,,,,,,,
Agriculture Fishery law and legislation,4,,,,,,,,,,,
