author
(1618-1689)  Christianus Philalethes pseud van Daniel van Henghel Daniel van Henghel
A. V. E.
A. v. B.
Adam Symonsz. Leenrale (1703-1717 fl.)
Adriaen Roman (-1649)
Adrianus Pieterson (ca1642-)
Alexandre Chreítien de Metre
Ambueren  Dirk
Arend Tollenaer (1672-1674 fl.)
Ashton  John
B.I.R
Baillie  Robert
Baldaeus  Philippus
Balthasar Gerbier#baron Douvily# (1592-1667)
Barlaeus  Caspar
Bartjens  Willem
Battell  Andrew
Belle  Josua van
Benjamin Rauleíe
Berckringer  Daniel
Beyerland  Abraham Willemsz van
Birdama  Focco Cornelius
Bizot  Pierre
Bolk  Bartholomeus
Boncamp  Hendrick
Bosman  Willem
Boxhorn  Marcus Zuerius van
Bristol  John Digby  Earl of
Brown  Edward
Bruyn  Loduwyck de
Buck  Pieter de
Buingha  Joannes
Burch  Johannes van der
Burgersdijck  Franco
Burges  Cornelius
Burnet  Gilbert
Busch  Henricus
Buysero  Dirck
Bysonder lief-hebber der vryheyt sijns vaderlands gestelt tegens alle bestryders der gerechtigheyt
Candele  P. le
Cattenbaert  Jasper
Cerdan  Jean-Paul  comte de
Charles I  King of England
Christianus Constantius pseud. van Gisbertus Voetius
Christopher Indise-Raven (1691-1703 fl.)
Citters  Arnout van
Clarendon  Edward Hyde  Earl of
Cloppenburg  Johannes
Clyburg  Jacob
Cock  David
Coghe  Jeremias de
Cook  John
Coornhert  Dirck Volckertszoon
Coster  L.
Court  Peeter La
Court  Pieter de la
Cunaeus  P.
Daalen  Augustinus van
Dam  A. J. van
Dam  Jan Albertsz. van (Jan Albertszoon)
Dapper  Olfert
Defoe  Daniel
Douvily  Balthasar Gerbier baron
Downing  George  Sir
Droste  Coenraet
Edelman die by hunne te rechtstellingh is present geweest
Escobar  Francisco MuÌ±oz de
Estienne  Charles
Ferguson  Johan Jacob
Ferguson  Robert
Geelvinck  J.
Glins  Taco van
Graswinckel  Theod. I. F.
Grill  Jan
Groeninx  Cornelis
Gronovius  Johannes Fredericus
Grote  Basilius de
Haan  Lourens Feykes
Halifax  George Savile  Marquis of
Hamilton  James Hamilton  Duke of
Henrietta Maria  Queen  consort of Charles I  King of England
Heusden  Robrecht van
Hexham  Henry
Holy  Nicolaas Muys van
Hooebeek  Andreas
Houwaard  Jan Babtista
Huet  Pierre Daniel
Hurdt  Anthony
Indise-Raven  Christopher
J. D. R.
J. Vincent (1713 fl.)
Jan Kost (17de E.)
Jan van Gysen (1668-1722)
Jansz  Bernaert Stockmans
Johan Jacob Ferguson (1667 fl.)
Johannes van der Burch (1672-1758)
Joost Kriex (17e E.)
Joost Willemsz Nykerke
Joost Willemsz N_kerke
Kate  Lambert ten
Kohl  Elias
Kriex  Joost
L'Espine  Jacques Le Moine de
Laet  Joannes de
Langendijk  Pieter
Law  John
Le Moine de L'Espine  Jacques
Leenrale  Adam Symonsz
Leonard van Naerssen (ca1659-)
Liefhebber van 't gemeene best opgestelt
Lilburne  John
Lintz  Adam
Long  Isaac Le
Loon  Gerard van
Loppin  Isaac
Lotius  Eleasar
Luillier-Lagaudiers  Sieur
Martens  Friedrich
Matelief  Cornelis
Mater  Govert van
Matthieu Coignet de La Thuillerie (1646-1648 fl.)
MaymÇn  AbÇ æÀImrn MÇs b æÀUbayd Ibn
Meyer  Pieter de
Michiel van Gogh (1664-1665 fl.)
NULL
Naeranus  Johannes
Naerssen  Leonard van
Neale  Thomas
Neeff  Adriaan de
Nicolaas Muys van Holy (ca1654-1717)
Nijkerke  Joost Willemsz
Norfolk  Henry Howard  Duke of
Northleigh  John
Nyenborgh  Johan van
Oprecht patriot ende liefhebber vanden gemeenen welstant
Opregt Engels protestant
Out  Sieuwert Jansz
Persijn  Abraham
Petre  Edward
Petri  Nicolaus
Philadelphus pseud. van G?sbert T?sens
Philips Hodenp?l (1702-1703 fl.)
Phoonsen  Johannes
Pieter de la Court de jonge (1618-1685)
Pieter van den Male
Pina  Yosua Sarfatti
Plasse  Cornelis Lodewijksz vander
Pruysen  Gerard van
R. F.
Rennefort  Urbain Souchu de
Ricard  Samuel
Rocco  Francesco
Roman  Adriaen
Rutcovius  Andreas
Rutgers  L.
Saint-Pierre  Charles IrenÌ©e Castel de
Salmasius  Claudius
Sarfatti Pina  Yosua
Sauterius  Daniel
Savary  Jacques
Schrevelius  Cornelius
Schuler  Johannes
Sebastiaen Coningh
Selden  John
Serapius  Joannes
Shaftesbury  Anthony Ashley Cooper  Earl of
Slichtenhorst  Arend van
Smout  Dirk
Steengracht  Johan
Stevin  Simon
Stockum  Johannes von
Straccha  Benvenutus
Struyck  Nicolaas
Surendonck  Andreas
Taurinus  Jacobus
Temple  William  Sir
Temple  William  Sir  Bart.
Teylingen  Frans van
Thomans  Ab
Tjassens  Johan
Tollenaer  Arend
Treby  George  Sir
Tysens  Gysbert
Udemans  Godefridus
Usselincx  Willem
Ussher  James
Velden  M. van (Martin)
Versoeter  Alexander
Verwer  Adriaan Pietersz
Vondel  Joost van den
Vriesenburgh  Jan
Vrye Hollander Engelschen alarm
W. S.
Waarmond  Augustus
Waghenaer  Lucas Jansz
Wegner  Daniel
Weytsen  Quintyn
Wheeler  John
Wildman  John  Sir
Willem Boreel (1591-1668)
Willem Usselincx (1567-1647)
William III  King of England
William Penn (1644-1718)
Witsen  Nicolaas
Wolferdus  Michael
Woude  Cornelis van der
