Keyword, Count
1652-1654,1134
1664-1667,116
1672-1678,11
1673,1
1678,1
1701-1714,223
17th century,3
Agriculture Africa,1
Agriculture Agriculture,1
Agriculture Fisheries,1
Agriculture Grain trade,1
Agriculture Herring industry,1
Agriculture Tobacco,1
Arthur Capel,1
Battle of the,1
Belgian,1
Biology,2
Central Europe),11
Colonies Brazil,1
Commerce,2
Commerce Africa,1
Commerce Amsterdam (Netherlands),4
Commerce Anglo-Dutch War,11
Commerce Antwerp (Belgium),1
Commerce Armed merchant ships,2
Commerce Average (Maritime law),1
Commerce Belgium,1
Commerce Benelux countries,1
Commerce Bookkeeping,1
Commerce Business,1
Commerce China,1
Commerce Christian life,1
Commerce Commercial products,4
Commerce Diplomatic and consular service,1
Commerce Dutch,2
Commerce East India Company,1
Commerce East Indies,1
Commerce Foreign exchange,2
Commerce Foreign trade regulation,4
Commerce France,1
Commerce Freedom of the seas,1
Commerce Grain trade,1
Commerce Horse trading,2
Commerce Liquor laws,2
Commerce Loading and unloading,1
Commerce Maritime law,8
Commerce Meuse River,2
Commerce Naval convoys,2
Commerce Naval law,1
Commerce Nederlandsche Oost-Indische Compagnie,12
Commerce Netherlands,21
Commerce Prices,4
Commerce Provinciaale Compagnie tot Utrecht,1
Commerce Salt industry and trade,2
Commerce Saltpeter industry,1
Commerce Ships,1
Commerce Spanish Succession,2
Commerce Tariff,7
Commerce Tides,1
Commerce Tulip mania,3
Commerce West-Indische Compagnie (Netherlands),3
Dialogues,31511
Dudley,1
Dutch,1111
Dutch East India Company,112
Economics,2121123111111211111311211125242115111111111121
European,11
Fifteenth Century Agriculture,1
Fifteenth Century Beer,1
Fifteenth Century Benelux countries,4
Fifteenth Century Coinage,1
Fifteenth Century Coins,1
Fifteenth Century Foreign exchange,4
Fifteenth Century Foreign study,1
Fifteenth Century Hearth-money,1
Fifteenth Century Insurance,1
Fifteenth Century Money,2
Fifteenth Century Netherlands,3
Fifteenth Century Tariff,3
Fifteenth Century Tariff on wine,1
Fifteenth Century Tax collection,1
Fifteenth Century Weights and measures,1
Finance Accounting,1
Finance Alberoni,1
Finance Banking law,1
Finance Benelux countries,1
Finance Bookkeeping,2
Finance Brabant (Duchy),1
Finance Business mathematics,1
Finance Coinage,2
Finance Coins,1
Finance Finance,1
Finance Foreign exchange,9
Finance Intergovernmental fiscal relations,2
Finance Kriex,1
Finance Law,3
Finance Lotteries,2
Finance Medals,1
Finance Money,9
Finance Netherlands,3
Finance Numismatics,1
Finance Pawnbroking,1
Finance Precious metals,1
Finance Ready-reckoners,1
Finance South Sea Company,3
Finance Speculation,5
Finance Stock exchanges,31
Finance Tariff,6
Finance Textile industry,1
Finance Usury,1
Finance Weights and measures,1
Finance West-Indische Compagnie (Netherlands),1
FranÌ¤ois d'Aix de,1
General,1
General Almanacs,1
General America,1
General Anglo-Dtuch War,1
General Angola,1
General Bookkeeping,1
General Carleton,1
General Europe,3
General Great Britain,2
General Greenland,3
General India,1
General Law,3
General Netherlands,2
General Political science,1
General Spanish Succession,2
Geography,1
Giulio,1
Henry Howard,1
History (America),112111
History (Asia),11
History (Europe),2
History (France),1111
History (Germany,11
History (Great Britain and Ireland),111
History (Netherlands),12311111113112111252421151111111
History (Scandinavia),111
History (Spain,1
Isaac,1
J.,1
James,1
John,3111
Law,1
Marine,1
Miscellaneous,1
Miscellaneous Almanacs,1
Miscellaneous Anglo-Dutch War,31
Miscellaneous Bramhall,1
Miscellaneous Doorislaus,1
Miscellaneous Dutch War,1
Miscellaneous Gothic language,1
Miscellaneous Great Britain,1
Miscellaneous Henrietta Maria,1
Miscellaneous Mary,4
Miscellaneous Norfolk,1
Miscellaneous Overbury,1
Miscellaneous Passports,1
Miscellaneous Texel,1
Miscellaneous Ussher,1
Miscellaneous West-Indische Compagnie (Netherlands),1
Miscellaneous William,8
Miscellaneous Wills,1
Netherlands,1
Period documents,1231111121111111211252421151111111111
Poetry,115
Politics,2
Politics Anglo-Dutch War,46
Politics Ashton,1
Politics Breda (Netherlands),1
Politics Charles,4
Politics Church of Scotland,1
Politics Dutch War,1
Politics England and Wales,2
Politics Essex,1
Politics Europe,2
Politics France,1
Politics Government,1
Politics Great Britain,37
Politics Inquisition,1
Politics Ireland,1
Politics James,4
Politics La Chaise,1
Politics Lilburne,1
Politics Louis,1
Politics Merchant marine,3
Politics National characteristics,1
Politics Netherlands,11
Politics Pardon,1
Politics Popish Plot,1
Politics Preston,1
Politics Prisoners,1
Politics Spanish Succession,3
Politics William,2
Portugal),1
Public,1
Recreation,1
Resistance to,1
Richard Graham,1
Social Conditions,1
Social Conditions Educational law and legislation,1
State publications,111
Theology (Christian doctrine),21
Thomas,1
Trades and Manufactures Alien labor,1
Trades and Manufactures Handicraft industries,1
Trades and Manufactures Naval art and science,1
Transportation of,1
War of,223
West,11
West India Company,1211111
non-fictie/economie,1
non-fictie/koloni‘n-reizen,1
