name, birth_loc, pocc, marriage, lastname
Livingstone John ,,,,John
Harwood Laurence,,,,Laurence
Jacob Edward Prince , Eglwysilon Glamorgan,,,Edward
Askwith John H,,,,John
Ross David ,,,,David
Clark Charles Griffin , St Katherine_by_the_Tower London,,,Charles
Duckett Thomas,,,,Thomas
Woodford William,,,,William
Dought Henry,,,,Henry
Walker Walter ,,,,Walter
Noris Charles,,,,Charles
Cuthbert Charles William , Norfolk Virginia,,,Charles
Blankett Stephen ,England,,,Stephen
Bailey Abraham Jennings ,,,,Abraham
Hogarth David,,,,David
Elmer John,,,,John
Tozier William,,,,William
Walcot Thomas L,,,,Thomas
Dawson George,,,,George
Munnings G G H,,,,G
Freeman Edmund , Combs Suffolk,,,Edmund
Nivison Alexander,,,,Alexander
Reeves Peter John,,,,Peter
Blinstone William,,,,William
Haffey Ynyr , Walthamstow Essex,,,Ynyr
Bradford John ,,,,John
Shirres William,,,,William
Kirkbride William ,,,,William
Syme William,,,,William
Boswell Bruce ,,,,Bruce
Abson Thomas ,,,,Thomas
Kitchin Walter ,,,,Walter
Massie James J,,,,James
Lings John,,,,John
Maxwell Eglinton , Penningham Wigton,,,Eglinton
Buchan Robert ,,,,Robert
Spencer Edward ,,,,Edward
Hayne Henry ,,,,Henry
Parris William,,,,William
Kemp Henry , Ramsgate Kent,salesman,,Henry
Wilson James , Scotland,,,James
Palmer John,,,,John
Winbolt Charles Horatio , England,,,Charles
Blyth Thomas Foakes , Elmstead Essex,,,Thomas
Gooch John , Sotherton Suffolk,,,John
Boodle Thomas ,,,,Thomas
Henderson John ,,,,John
Davidson William,,,,William
Samways George ,,,,George
Clifton William ,,,,William
Bignell William Peter , Banbury,gent ,,William
Pett Peter,,,,Peter
Boddington Henry,,,,Henry
Tapley Richard,,,,Richard
Wood Thomas,,,,Thomas
Groube Samuel,,,,Samuel
Cundett John,,,,John
Haines Robert,,,,Robert
Lake Samuel,,,,Samuel
Dowell William , Whitehaven Cumberland,,,William
Gibson William,,,,William
Toller William , Cross St Chapel Barnstaple Devon,,,William
Gardiner William,,,,William
Boddam Charles,,,,Charles
Barfoot John , St Dunstan's Stepney,grocer,,John
Mead Robert ,,,,Robert
Kennedy William,,,,William
Mackintosh Lachlan ,,,,Lachlan
Tosen Solomon,,,,Solomon
Hamon William ,,,,William
Rennick or Renwick Robert , Bowden Roxburghs,,,or
Greenway William Brown,,,,William
Higford Charles,,,,Charles
Blatchley George,,,,George
Mills Peter Mathew ,,,,Peter
Paul John,,,,John
Lovell Edmund,,,,Edmund
Cocks George Edward,,,,George
Sebbon Walter,,,,Walter
Wray William , West Ham Essex,,,William
Angove Collier,,,,Collier
Stanes Francis,,,,Francis
Burdett Richard,,,,Richard
Walpole Robert ,,,,Robert
Small Charles,,,,Charles
Bruce John,Scotland,,,John
Brooks Thomas,,,,Thomas
Bridges John ,England,,,John
Carr William , England,,,William
Sinclair Robert,,,,Robert
Boyce Edward,,,,Edward
Dundas George , Toulouse France,,,George
Grave William L,,,,William
More George,,,,George
Sullivan Daniel,,,,Daniel
Milton Francis ,,,,Francis
Sanders Thomas , Henley Oxon,,m 11 Dec 1796 Calcutta= Rosetta Fortunata Valle,Thomas
Robinson John,,,,John
Norris Thomas ,,,,Thomas
Daking John,,,,John
Boyd Joseph ,,,,Joseph
Wilson Henry,,,,Henry
Paul Henry ,,,,Henry
Horner Henry,,,,Henry
Bunny John,,,,John
Wilson George Saville,,,,George
Hudson Charles,,,,Charles
Larimore James,,,,James
Bronsden Richard,,,,Richard
Hichens or Hichins George , Madron Cornwall,,,or
Overt Roger ,,,,Roger
Holden Richard,,,,Richard
Spurling Charles R,,,,Charles
Vaughan Edward,,,,Edward
Cannan Joseph,,,,Joseph
Sulivan Thomas John Heath,,,,Thomas
Ingledew _?_,,,,_?_
Smallwood Joseph,,,,Joseph
Millard William,,,,William
Nixon John,,,,John
Brown David,,,,David
Waghorn Martin ,,,,Martin
Burnet James,,,,James
Quallett James,,,,James
Barber Nathaniel,,,,Nathaniel
McLean Stephen,,,,Stephen
Ruthens Robert,,,,Robert
Barris George,,,,George
Lee T H ,,,,T
Coggan John ,,,,John
Kynaston Edward,,,,Edward
Briscoe Edward,,,,Edward
Nimo John,,,,John
Phillips Peter,,,,Peter
Beard William,,,,William
Ireland William,,,,William
Howell Francis ,,,,Francis
Bumell Arthur , England,,,Arthur
Buchanan John ,Scotland,,,John
