id, name
1,Abercromby Burnet
2,Larkins Thomas
3,Acland Thomas Palmer
4,Acton John
5,Adair Alexander
6,Adair John
7,Adams Edward Lambert
8,Adams Frederick
9,Adams Robert
10,Adams William (pilot)
11,Larkins Thomas
12,Adamson William
13,Adderley William
14,Adlie J. M.
15,Ager Henry
16,Agnew William
17,Aldham Thomas Wedlock
20,Alexander John
21,Allen John
22,Allen Thomas
23,Allison John
24,Allnutt Richard
25,Allwright Richard
26,Alsager Richard
27,Alton John
28,Anderson Archibald
29,Anderson John
30,Anderson Robert
31,Andrews Jonathan
32,Andrews Joseph
33,Andrews Peter
34,Angus James
35,Anselme Abraham
36,Anstice James Patten
37,Anstis Nicholas
38,Aplin Richard
39,Applegath Augusta Joseph
40,Applegath William
41,Arbuthnot George Clerk
42,Archer Henry
43,Arhur David
44,Arkcoll Charles
45,Arthur David
46,Asquith David
47,Atkins John
48,Atkins Walter
49,Atkinson John Augustus
50,Atkyns Thomas
51,Auber Henry Peter
52,Aubone Thomas
53,Avarne Hamilton Blair
54,Ayton Richard
55,Backwell Duncan
56,Baddison Thomas
57,Bagwell George
58,Baird John
59,Baker David Bristow
60,Baker Felix
61,Baker George
62,Baker John Valentine
64,Baker Sampson
65,Baker Thomas
66,Baker William
67,Balchen John
68,Balderston Thomas Francis
69,Baldwin James
70,Ballantyne Alexander
71,Ballantyne George
72,Balston Edward
73,Bampton W.
74,Barber Benjamin
75,Barber James
76,Barclay Andrew
77,Barfoot John
78,Barkeley Charles
79,Barker James
80,Barker John
81,Barker Robert
82,Barker Thomas
83,Barkley John
84,Barnard Charles
85,Barnes John
86,Baron Christopher
87,Barre Henry
88,Barrow Edward
89,Barrow Thomas
90,Barrow Thomas William
91,Bartlet John
92,Bartlett John
93,Barwell James
94,Baskett Roger
95,Basse William
96,Bathie George Kinnaird
97,Bax Henry Bonham
98,Bayliff Thomas Gabriel
99,Baylis Philip
100,Baynes William
101,Beach Charles
102,Beadle Samuel
103,Beale Joseph
104,Beamish George
105,Beawes William
106,Becher Henry
107,Beckford Thomas
108,Beddiford Nicholas
109,Beeckman Daniel
