id, name, birth_loc, pocc, marriage, lastname
1,Abercromby Burnet,,,,
2,Larkins Thomas,,,,Thomas
3,Acland Thomas Palmer,Fairfield Somerset,,,Thomas
4,Acton John,,,,John
5,Adair Alexander,,,,Alexander
6,Adair John,Scotland,,,John
7,Adams Edward Lambert,Mezignac nr Bordeaux,,,Edward
8,Adams Frederick,Calcutta,,,Frederick
9,Adams Robert,,,,Robert
10,Adams William (pilot),,,,
11,Larkins Thomas,,,,Thomas
12,Adamson William,Dalgetty Fifeshire,merchant,,William
13,Adderley William,St John's Southwark,oilman,,William
14,Adlie J. M.,,,,
15,Ager Henry,Bowbrickhill Bucks,,,Henry
16,Agnew William,in Ireland,,,William
17,Aldham Thomas Wedlock,,,,Thomas
20,Alexander John,,,,John
21,Allen John,,,,John
22,Allen Thomas,Fareham Hants,,,Thomas
23,Allison John,,,,John
24,Allnutt Richard,,,,Richard
25,Allwright Richard,,,,Richard
26,Alsager Richard,St Mary's Newington Surrey,,,Richard
27,Alton John,,,,John
28,Anderson Archibald,Scotland,,,Archibald
29,Anderson John,Leith,,,John
30,Anderson Robert,in Scotland,,m 23 Jun 1832 St John's= Hampstead= London= Alicia Elizabeth Cruttenden,Robert
31,Andrews Jonathan,,,,Jonathan
32,Andrews Joseph,England,,,Joseph
33,Andrews Peter,,,,Peter
34,Angus James,,,,James
35,Anselme Abraham,,,,
36,Anstice James Patten,South Petherton Somerset,,,James
37,Anstis Nicholas,,,,Nicholas
38,Aplin Richard,Banbury,gent,,Richard
39,Applegath Augusta Joseph,,,,
40,Applegath William,,,,William
41,Arbuthnot George Clerk,Scotland,,,George
42,Archer Henry,,,,Henry
43,Arhur David,,,,
44,Arkcoll Charles,Hurstmonceux Sussex,,,Charles
45,Arthur David,,,,David
46,Asquith David,,,,David
47,Atkins John,,,,John
48,Atkins Walter,,,,Walter
49,Atkinson John Augustus,,,,John
50,Atkyns Thomas,,,,
51,Auber Henry Peter,England,,,Henry
52,Aubone Thomas,,,,Thomas
53,Avarne Hamilton Blair,Portsmouth,,,Hamilton
54,Ayton Richard,,,,Richard
55,Backwell Duncan,,,,Duncan
56,Baddison Thomas,,,,Thomas
57,Bagwell George,,,,George
58,Baird John,,,,John
59,Baker David Bristow,Chiddingstone Kent,minister,,David
60,Baker Felix,,,,Felix
61,Baker George,,,,George
62,Baker John Valentine,St Augustine's Bristol,,,John
64,Baker Sampson,,,,Sampson
65,Baker Thomas,,,,Thomas
66,Baker William,,,,William
67,Balchen John,,,,John
68,Balderston Thomas Francis,England,,,Thomas
69,Baldwin James,,,,James
70,Ballantyne Alexander,,,,Alexander
71,Ballantyne George,Scotland,,,George
72,Balston Edward,Winterborne St Martin Dorset,,,Edward
73,Bampton W.,,,,
74,Barber Benjamin,St Nicholas Deptford,watchmaker,,Benjamin
75,Barber James,Walcot Bath,,,James
76,Barclay Andrew,,,,Andrew
77,Barfoot John,St Dunstan's Stepney,grocer,,John
78,Barkeley Charles,,,,
79,Barker James,,,,James
80,Barker John,Great Yarmouth,,,John
81,Barker Robert,Sanguhar Dumfries,,,Robert
82,Barker Thomas,Redgrave Suffolk,,,Thomas
83,Barkley John,,,,
84,Barnard Charles,Newbury Berks,,m 2 May 1811 St Michael's Bath= Ann= Miller (she re_m 8 Jul 1826 St Margaret's= Westminster= Benjamin Shillito= who d Sep 1834 Nova Scotia),Charles
85,Barnes John,,,,John
86,Baron Christopher,,,,
87,Barre Henry,,,,
88,Barrow Edward,,,,
89,Barrow Thomas,Harley St London,,,Thomas
90,Barrow Thomas William,Tiverton Devon,,,Thomas
91,Bartlet John,,,,
92,Bartlett John,Tenby,,,John
93,Barwell James,,,,James
94,Baskett Roger,Pocklington Yorks,,,Roger
95,Basse William,,,,William
